name,slug,value,date_of_information,ranking,region
"Afghanistan","afghanistan","104.89","","1","South Asia"
"Somalia","somalia","86.53","","2","Africa"
"Central African Republic","central-african-republic","82.97","","3","Africa"
"Equatorial Guinea","equatorial-guinea","78.33","","4","Africa"
"Sierra Leone","sierra-leone","73.42","","5","Africa"
"Niger","niger","66.81","","6","Africa"
"Chad","chad","65.48","","7","Africa"
"South Sudan","south-sudan","63.18","","8","Africa"
"Mozambique","mozambique","61.38","","9","Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","60.85","","10","Africa"
"Mali","mali","60.64","","11","Africa"
"Angola","angola","58.86","","12","Africa"
"Comoros","comoros","57.10","","13","Africa"
"Nigeria","nigeria","56.68","","14","Africa"
"Benin","benin","55.76","","15","Africa"
"Cote d'Ivoire","cote-divoire","55.67","","16","Africa"
"Pakistan","pakistan","53.98","","17","South Asia"
"Mauritania","mauritania","50.99","","18","Africa"
"Guinea","guinea","49.63","","19","Africa"
"Burkina Faso","burkina-faso","49.42","","20","Africa"
"Guinea-Bissau","guinea-bissau","49.05","","21","Africa"
"Cameroon","cameroon","48.73","","22","Africa"
"Lesotho","lesotho","48.44","","23","Africa"
"Congo, Republic of the","congo-republic-of-the","47.93","","24","Africa"
"Djibouti","djibouti","46.89","","25","Africa"
"Yemen","yemen","46.54","","26","Middle East"
"Liberia","liberia","44.57","","27","Africa"
"Sao Tome and Principe","sao-tome-and-principe","44.38","","28","Africa"
"Sudan","sudan","42.27","","29","Africa"
"Eritrea","eritrea","41.50","","30","Africa"
"Togo","togo","41.19","","31","Africa"
"Haiti","haiti","40.02","","32","Central America"
"Eswatini","eswatini","39.63","","33","Africa"
"Madagascar","madagascar","39.04","","34","Africa"
"Burundi","burundi","37.84","","35","Africa"
"Laos","laos","37.78","","36","East Asia/Southeast Asia"
"Turkmenistan","turkmenistan","37.62","","37","Central Asia"
"Gambia, The","gambia-the","37.19","","38","Africa"
"Zambia","zambia","37.11","","39","Africa"
"Timor-Leste","timor-leste","33.69","","40","East Asia/Southeast Asia"
"Papua New Guinea","papua-new-guinea","33.59","","41","East Asia/Southeast Asia"
"Ethiopia","ethiopia","33.51","","42","Africa"
