name,slug,value,date_of_information,ranking,region
"Syria","syria","40.58","2022 est.","1","Middle East"
"South Sudan","south-sudan","20.97","2022 est.","2","Africa"
"Equatorial Guinea","equatorial-guinea","13.96","2022 est.","3","Africa"
"Venezuela","venezuela","13.88","2022 est.","4","South America"
"British Virgin Islands","british-virgin-islands","13.56","2022 est.","5","Central America"
"Cayman Islands","cayman-islands","12.56","2022 est.","6","Central America"
"Luxembourg","luxembourg","12.01","2022 est.","7","Europe"
"Anguilla","anguilla","10.67","2022 est.","8","Central America"
"Monaco","monaco","10.03","2022 est.","9","Europe"
"Turks and Caicos Islands","turks-and-caicos-islands","8.58","2022 est.","10","Central America"
"Aruba","aruba","8.18","2022 est.","11","Central America"
"Burundi","burundi","7.09","2022 est.","12","Africa"
"Cyprus","cyprus","6.96","2022 est.","13","Europe"
"Australia","australia","6.93","2022 est.","14","Australia - Oceania"
"San Marino","san-marino","6.11","2022 est.","15","Europe"
"South Georgia and South Sandwich Islands","south-georgia-and-south-sandwich-islands","5.90","2021 est.","16","South America"
"New Zealand","new-zealand","5.83","2022 est.","17","Australia - Oceania"
"Sint Maarten","sint-maarten","5.83","2022 est.","18","Central America"
"Saudi Arabia","saudi-arabia","5.52","2022 est.","19","Middle East"
"Malta","malta","5.49","2022 est.","20","Europe"
"Canada","canada","5.46","2022 est.","21","North America"
"Liechtenstein","liechtenstein","4.81","2022 est.","22","Europe"
"Isle of Man","isle-of-man","4.76","2022 est.","23","Europe"
"Djibouti","djibouti","4.59","2022 est.","24","Africa"
"Switzerland","switzerland","4.52","2022 est.","25","Europe"
"Belgium","belgium","4.38","2022 est.","26","Europe"
"Spain","spain","4.35","2022 est.","27","Europe"
"Singapore","singapore","4.22","2022 est.","28","East Asia/Southeast Asia"
"Norway","norway","3.92","2022 est.","29","Europe"
"Ireland","ireland","3.79","2022 est.","30","Europe"
"Gabon","gabon","3.67","2022 est.","31","Africa"
"New Caledonia","new-caledonia","3.66","2022 est.","32","Australia - Oceania"
"Sweden","sweden","3.60","2022 est.","33","Europe"
"United Kingdom","united-kingdom","3.59","2022 est.","34","Europe"
"Austria","austria","3.55","2022 est.","35","Europe"
"Panama","panama","3.42","2022 est.","36","Central America"
"Macau","macau","3.15","2022 est.","37","East Asia/Southeast Asia"
"Italy","italy","3.02","2022 est.","38","Europe"
"United States","united-states","3.02","2022 est.","39","North America"
"Iceland","iceland","2.89","2022 est.","40","Europe"
"Botswana","botswana","2.81","2022 est.","41","Africa"
"Denmark","denmark","2.73","2022 est.","42","Europe"
"Korea, South","korea-south","2.63","2022 est.","43","East Asia/Southeast Asia"
"Suriname","suriname","2.54","2022 est.","44","South America"
"Qatar","qatar","2.45","2022 est.","45","Middle East"
"Finland","finland","2.35","2022 est.","46","Europe"
"Czechia","czechia","2.32","2022 est.","47","Europe"
"Brunei","brunei","2.18","2022 est.","48","East Asia/Southeast Asia"
"Antigua and Barbuda","antigua-and-barbuda","2.03","2022 est.","49","Central America"
"Sierra Leone","sierra-leone","2.03","2022 est.","50","Africa"
"Israel","israel","2.02","2022 est.","51","Middle East"
"Netherlands","netherlands","1.90","2022 est.","52","Europe"
"Germany","germany","1.78","2022 est.","53","Europe"
"Jersey","jersey","1.76","2022 est.","54","Europe"
"Guernsey","guernsey","1.70","2022 est.","55","Europe"
"Russia","russia","1.70","2022 est.","56","Central Asia"
"Hong Kong","hong-kong","1.65","2022 est.","57","East Asia/Southeast Asia"
"Slovenia","slovenia","1.54","2022 est.","58","Europe"
"Bermuda","bermuda","1.49","2022 est.","59","North America"
"Malaysia","malaysia","1.48","2022 est.","60","East Asia/Southeast Asia"
"Hungary","hungary","1.23","2022 est.","61","Europe"
"Cote d'Ivoire","cote-divoire","1.18","2022 est.","62","Africa"
"Saint Kitts and Nevis","saint-kitts-and-nevis","1.16","2022 est.","63","Central America"
"France","france","1.06","2022 est.","64","Europe"
"Greece","greece","1.00","2022 est.","65","Europe"
"Portugal","portugal","0.91","2022 est.","66","Europe"
"Seychelles","seychelles","0.86","2022 est.","67","Africa"
"Taiwan","taiwan","0.85","2022 est.","68","East Asia/Southeast Asia"
"Costa Rica","costa-rica","0.77","2022 est.","69","Central America"
"Japan","japan","0.74","2022 est.","70","East Asia/Southeast Asia"
"Belarus","belarus","0.72","2022 est.","71","Europe"
"Palau","palau","0.60","2022 est.","72","Australia - Oceania"
"Kazakhstan","kazakhstan","0.39","2022 est.","73","Central Asia"
"Chile","chile","0.33","2022 est.","75","South America"
"Benin","benin","0.24","2022 est.","76","Africa"
"Zambia","zambia","0.24","2022 est.","77","Africa"
"Slovakia","slovakia","0.20","2022 est.","78","Europe"
"India","india","0.16","2022 est.","79","South Asia"
"Philippines","philippines","0.13","2022 est.","80","East Asia/Southeast Asia"
"Georgia","georgia","0.06","2022 est.","81","Middle East"
"Andorra","andorra","0.00","2022 est.","82","Europe"
"Azerbaijan","azerbaijan","0.00","2022 est.","83","Middle East"
"Bahamas, The","bahamas-the","0.00","2022 est.","84","Central America"
"Bhutan","bhutan","0.00","2022 est.","85","South Asia"
"Congo, Republic of the","congo-republic-of-the","0.00","2022 est.","86","Africa"
"Ecuador","ecuador","0.00","2022 est.","87","South America"
"Faroe Islands","faroe-islands","0.00","2022 est.","88","Europe"
"Guinea","guinea","0.00","2022 est.","89","Africa"
"Madagascar","madagascar","0.00","2022 est.","90","Africa"
"Malawi","malawi","0.00","2022 est.","91","Africa"
"Mauritius","mauritius","0.00","2022 est.","92","Africa"
"Montserrat","montserrat","0.00","2022 est.","93","Central America"
"Namibia","namibia","0.00","2022 est.","94","Africa"
"Papua New Guinea","papua-new-guinea","0.00","2022 est.","95","East Asia/Southeast Asia"
"Saint Helena, Ascension, and Tristan da Cunha","saint-helena-ascension-and-tristan-da-cunha","0.00","2022 est.","96","Africa"
"Serbia","serbia","0.00","2022 est.","97","Europe"
"South Africa","south-africa","0.00","2022 est.","98","Africa"
"Gambia, The","gambia-the","-0.04","2022 est.","99","Africa"
"Korea, North","korea-north","-0.04","2022 est.","100","East Asia/Southeast Asia"
"Paraguay","paraguay","-0.07","2022 est.","101","South America"
"Argentina","argentina","-0.08","2022 est.","102","South America"
"Afghanistan","afghanistan","-0.10","2022 est.","103","South Asia"
"China","china","-0.11","2022 est.","104","East Asia/Southeast Asia"
"Chad","chad","-0.13","2022 est.","105","Africa"
"Thailand","thailand","-0.13","2022 est.","106","East Asia/Southeast Asia"
"Ghana","ghana","-0.16","2022 est.","107","Africa"
"Angola","angola","-0.19","2022 est.","108","Africa"
"Brazil","brazil","-0.19","2022 est.","109","South America"
"Ethiopia","ethiopia","-0.19","2022 est.","110","Africa"
"Kenya","kenya","-0.19","2022 est.","111","Africa"
"Yemen","yemen","-0.19","2022 est.","112","Middle East"
"Nigeria","nigeria","-0.21","2022 est.","113","Africa"
"Vietnam","vietnam","-0.22","2022 est.","114","East Asia/Southeast Asia"
"Ukraine","ukraine","-0.26","2022 est.","115","Europe"
"Barbados","barbados","-0.29","2022 est.","116","Central America"
"Bulgaria","bulgaria","-0.29","2022 est.","117","Europe"
"Iran","iran","-0.30","2022 est.","118","Middle East"
"Cameroon","cameroon","-0.31","2022 est.","119","Africa"
"Egypt","egypt","-0.31","2022 est.","120","Africa"
"Poland","poland","-0.33","2022 est.","121","Europe"
